rank,years,age,length
0,1994,12,2h 22m
1,1972,16,2h 55m
2,2008,16,2h 32m
3,1974,16,3h 22m
4,1957,12,1h 36m
5,1993,12,3h 15m
6,2003,12,3h 21m
7,1994,16,2h 34m
8,2001,12,2h 58m
9,1966,18,2h 41m
10,1994,12,2h 22m
11,2002,12,2h 59m
12,1999,18,2h 19m
13,2010,12,2h 28m
14,1980,2,2h 4m1
15,1999,16,2h 16m
16,1990,16,2h 25m
17,1975,16,2h 13m
18,1995,6,2h 7m1
19,1946,6,2h 10m
20,2014,12,2h 49m
21,1954,16,3h 27m
22,1991,16,1h 58m
23,1998,16,2h 49m
24,2002,16,2h 10m
25,1997,6,1h 56m
26,1999,2,3h 9m1
27,1991,16,2h 17m
28,1977,2,2h 1m1
29,1985,12,1h 56m
31,2023,12,2h 20m
32,2002,12,2h 30m
33,2019,16,2h 12m
34,1960,18,1h 49m
35,2000,16,2h 35m
36,1994,0,1h 28m
37,1994,16,1h 50m
38,2006,16,2h 31m
39,1998,16,1h 59m
40,2014,12,1h 46m
41,2006,12,2h 10m
42,1988,6,1h 29m
43,1962,16,2h 13m
44,1995,16,1h 46m
45,1942,6,1h 42m
46,2011,6,1h 52m
47,1936,6,1h 27m
48,1988,12,2h 54m
49,1954,16,1h 52m
50,1968,16,2h 46m
52,1979,16,1h 57m
53,1931,6,1h 27m
54,1979,16,2h 27m
55,2012,16,2h 45m
56,2000,16,1h 53m
57,2008,0,1h 38m
58,1981,12,1h 55m
59,2006,12,2h 17m
60,1950,16,1h 50m
61,1957,(Ba,1h 28m
62,2018,12,2h 29m
63,2018,6,1h 57m
64,1980,16,2h 26m
65,1957,12,1h 56m
66,1940,Ban,2h 5m(
67,1986,16,2h 17m
68,2009,16,2h 33m
69,2012,12,2h 44m
70,1964,16,1h 35m
71,1999,2,2h 2m1
73,2017,0,1h 45m
74,1984,12,2h 40m
75,1995,0,1h 21m
76,1981,12,2h 29m
77,1995,16,2h 58m
78,2019,2,3h 1m1
79,2019,6,2h 2m1
80,1997,12,2h 14m
81,1997,2,2h 6m1
83,2016,6,1h 46m
84,1984,18,3h 49m
85,1963,Not,2h 23m
86,2009,12,2h 50m
87,1952,6,1h 43m
88,2018,2,2h 6m1
89,2000,16,1h 42m
90,1985,16,2h 22m
91,2010,0,1h 43m
92,1983,12,2h 11m
93,2004,12,1h 48m
94,2012,12,1h 55m
95,2023,16,2h 21m
96,1968,12,2h 29m
97,1992,18,1h 39m
98,1952,16,2h 23m
99,1962,12,3h 38m
100,1960,6,2h 5m1
101,1941,12,1h 59m
102,1959,16,2h 16m
103,1931,16,1h 57m
104,1958,6,2h 8m1
105,1944,16,1h 47m
106,1983,18,2h 50m
